task,level,domain,field,subfield,n_substeps,researcher_hours,elapsed_hours,confidence
"Design survey instruments to collect farm-level data on production costs, input use, and management practices.",subfield,Life Sciences,Agricultural Sciences,Agricultural Economics & Policy,9,125.5,207.5,medium
Construct quasi-experimental research designs to evaluate the causal impacts of agricultural policies or programs.,subfield,Life Sciences,Agricultural Sciences,Agricultural Economics & Policy,11,146.92,564.08,medium
Develop sampling strategies to obtain representative data from agricultural populations across diverse farming systems.,subfield,Life Sciences,Agricultural Sciences,Agricultural Economics & Policy,11,76.42,478.75,medium
"Collect primary data through farmer interviews, household surveys, or focus groups in rural communities.",subfield,Life Sciences,Agricultural Sciences,Agricultural Economics & Policy,12,828.33,1589.67,medium
Compile panel datasets combining farm-level records with regional economic and environmental indicators.,subfield,Life Sciences,Agricultural Sciences,Agricultural Economics & Policy,11,96.83,118.08,medium
Clean and harmonize agricultural survey data across multiple time periods or geographic regions.,subfield,Life Sciences,Agricultural Sciences,Agricultural Economics & Policy,12,93.42,94.67,medium
Analyze qualitative interview and documentary material to identify patterns in the practices and views of agricultural and food actors,subfield,Life Sciences,Agricultural Sciences,Agricultural Economics & Policy,11,200.25,215.75,medium
Compile sector statistics from national and international databases to characterize production and development trends,subfield,Life Sciences,Agricultural Sciences,Agricultural Economics & Policy,10,38.67,39.5,medium
Appraise and design technical or economic options for agricultural enterprises and institutions to inform planning,subfield,Life Sciences,Agricultural Sciences,Agricultural Economics & Policy,11,116.92,288.67,medium
Characterize the decision-making and governance behavior of actors in agricultural systems,subfield,Life Sciences,Agricultural Sciences,Agricultural Economics & Policy,12,737.67,2509.0,medium
Conduct qualitative case studies of food or agricultural organizations and programs to characterize their operation and evolution.,subfield,Life Sciences,Agricultural Sciences,Agricultural Economics & Policy,10,464.5,3008.0,medium
"Design instruments to elicit farmers' subjective perceptions, well-being, or probability beliefs.",subfield,Life Sciences,Agricultural Sciences,Agricultural Economics & Policy,14,116.92,265.08,medium
Trace the historical and institutional evolution of agricultural policies or exchange systems through narrative analysis.,subfield,Life Sciences,Agricultural Sciences,Agricultural Economics & Policy,12,351.08,924.67,medium
"Construct price indices, productivity measures, or risk indicators from raw agricultural data.",subfield,Life Sciences,Agricultural Sciences,Agricultural Economics & Policy,10,42.67,44.67,medium
Apply econometric methods to estimate supply and demand elasticities for agricultural commodities.,subfield,Life Sciences,Agricultural Sciences,Agricultural Economics & Policy,10,97.75,155.75,medium
"Conduct policy impact evaluations using difference-in-differences, regression discontinuity, or instrumental variable approaches.",subfield,Life Sciences,Agricultural Sciences,Agricultural Economics & Policy,11,154.67,288.0,medium
Estimate production functions or cost functions to assess farm efficiency and technology adoption.,subfield,Life Sciences,Agricultural Sciences,Agricultural Economics & Policy,11,57.92,61.17,medium
Analyze household welfare effects of agricultural interventions using consumption or income data.,subfield,Life Sciences,Agricultural Sciences,Agricultural Economics & Policy,9,146.25,146.25,medium
"Construct composite scales or indices from survey items to measure farmers' attitudes, competencies, or motivations.",subfield,Life Sciences,Agricultural Sciences,Agricultural Economics & Policy,13,74.83,74.83,medium
"Formulate hypotheses about fish growth rates, reproduction, or survival under varying environmental or dietary conditions.",subfield,Life Sciences,Agricultural Sciences,Aquaculture & Fisheries,7,20.28,47.28,medium
Develop hypotheses regarding disease transmission pathways and parasite life cycles in cultured aquatic species.,subfield,Life Sciences,Agricultural Sciences,Aquaculture & Fisheries,9,83.17,196.42,medium
"Develop and apply laboratory procedures to detect, identify, or test agents against target microorganisms",field,Life Sciences,Agricultural Sciences,Aquaculture & Fisheries,10,45.85,155.97,medium
"Design feeding trials with appropriate stocking densities, replication, and control diets to evaluate aquaculture nutrition.",subfield,Life Sciences,Agricultural Sciences,Aquaculture & Fisheries,10,45.17,585.5,medium
Plan controlled experiments comparing water quality parameters across treatment tanks or pond systems.,subfield,Life Sciences,Agricultural Sciences,Aquaculture & Fisheries,12,17.92,492.92,medium
"Obtain IACUC approval for research involving fish, shellfish, or other aquatic organisms.",subfield,Life Sciences,Agricultural Sciences,Aquaculture & Fisheries,13,27.58,1139.83,medium
Generate or acquire genomic and transcriptomic data to assess genetic diversity or disease resistance in aquatic populations.,subfield,Life Sciences,Agricultural Sciences,Aquaculture & Fisheries,12,141.0,1730.18,medium
Analyze qualitative interview and documentary material to identify patterns in the practices and views of agricultural and food actors,subfield,Life Sciences,Agricultural Sciences,Aquaculture & Fisheries,11,116.0,275.25,medium
Monitor environmental conditions at study sites with field sensors and instruments to characterize variability,subfield,Life Sciences,Agricultural Sciences,Aquaculture & Fisheries,9,98.12,103.25,medium
Formulate aquafeed recipes specifying ingredient composition and inclusion levels for target aquaculture species.,subfield,Life Sciences,Agricultural Sciences,Aquaculture & Fisheries,9,25.63,161.72,medium
Induce spawning in captive aquatic broodstock using environmental or hormonal stimulation to produce offspring.,subfield,Life Sciences,Agricultural Sciences,Aquaculture & Fisheries,10,43.9,1988.9,medium
Process environmental DNA or microbiome sequencing data from aquatic samples for species detection and community analysis.,subfield,Life Sciences,Agricultural Sciences,Aquaculture & Fisheries,11,13.92,23.08,medium
"Compare growth performance, survival rates, or disease prevalence between experimental and control groups using statistical tests.",subfield,Life Sciences,Agricultural Sciences,Aquaculture & Fisheries,12,23.78,23.78,medium
Analyze catch data and population metrics to assess stock status and fishing pressure effects.,subfield,Life Sciences,Agricultural Sciences,Aquaculture & Fisheries,11,205.75,269.42,medium
"Identify, measure, and enumerate specimens from aquatic surveys and catches to characterize species composition and population structure",subfield,Life Sciences,Agricultural Sciences,Aquaculture & Fisheries,9,96.47,96.47,medium
Design and conduct standardized field surveys to document the distribution and abundance of target organisms,subfield,Life Sciences,Agricultural Sciences,Aquaculture & Fisheries,13,135.67,993.0,medium
Examine policy instruments and stakeholder responses to assess the determinants and expected outcomes of agricultural decisions,subfield,Life Sciences,Agricultural Sciences,Aquaculture & Fisheries,11,489.0,2173.17,medium
Compile sector statistics from national and international databases to characterize production and development trends,subfield,Life Sciences,Agricultural Sciences,Aquaculture & Fisheries,11,40.58,41.42,medium
Formulate management recommendations for fisheries or aquaculture water bodies based on analysis of environmental and operational constraints.,subfield,Life Sciences,Agricultural Sciences,Aquaculture & Fisheries,11,130.5,362.5,medium
Assess the commercial potential of aquatic species by combining resource availability with market and processing yield information.,subfield,Life Sciences,Agricultural Sciences,Aquaculture & Fisheries,12,276.0,1849.83,medium
Calibrate fishing gear performance and catchability to correct survey abundance and biomass estimates.,subfield,Life Sciences,Agricultural Sciences,Aquaculture & Fisheries,12,380.0,758.0,medium
Formulate hypotheses about tree-soil-water interactions and nutrient cycling in forest ecosystems.,subfield,Life Sciences,Agricultural Sciences,Forestry & Agroforestry,9,86.83,392.83,medium
"Develop hypotheses regarding species competition, succession, and community assembly in forest stands.",subfield,Life Sciences,Agricultural Sciences,Forestry & Agroforestry,11,118.0,258.0,medium
