task,level,domain,field,subfield,relation_aggregate,relation_evaluate,relation_produce,relation_communicate,relation_support,medium_information,medium_materials,medium_people,mode_theoretical,mode_quantitative,mode_qualitative,mode_design,mode_none,cognitive_complexity,physical_deployment,regulatory_restriction,rl_physical_gate_pass,rl_verification,rl_simulability,rl_feedback_density,pasteur_applies,pasteur_understanding,pasteur_use,pasteur_quadrant,years_education,cdr_rl_source
"Adjudicate among competing interpretations, weighing textual and contextual evidence.",domain,Arts & Humanities,,,15.0,40.0,30.0,15.0,0.0,95.0,5.0,0.0,15.0,0.0,80.0,0.0,5.0,2.65,0.0,0.0,1.0,4.22,8.41,5.05,yes,5.0,1.0,Bohr,18.0,substep_mean
"Handle rare, fragile, or culturally sensitive materials according to conservation and institutional protocols.",domain,Arts & Humanities,,,5.0,5.0,5.0,5.0,80.0,10.0,80.0,10.0,0.0,0.0,5.0,5.0,90.0,1.4,2.64,1.86,0.05,4.06,2.35,2.58,no,,,n.a.,14.0,substep_mean
Quantify target nucleic acid levels with targeted PCR assays to compare or verify expression results,domain,Life Sciences,,,5.0,5.0,80.0,5.0,5.0,10.0,85.0,5.0,0.0,90.0,0.0,5.0,5.0,1.37,1.41,0.0,0.37,8.11,4.7,5.04,yes,3.0,4.0,Edison,16.0,substep_mean
Collect information from local stakeholders through interviews or questionnaires to document their knowledge and practices,domain,Life Sciences,,,5.0,0.0,80.0,5.0,10.0,15.0,0.0,85.0,0.0,25.0,65.0,5.0,5.0,1.58,1.25,0.85,0.54,4.38,4.72,4.63,yes,3.0,4.0,Edison,16.0,substep_mean
Assess the reliability and precision of measurements through replicate testing and comparison with reference procedures,domain,Life Sciences,,,5.0,20.0,60.0,10.0,5.0,90.0,10.0,0.0,0.0,90.0,0.0,5.0,5.0,1.38,1.3,1.28,0.41,6.68,4.89,5.17,yes,1.0,4.0,Edison,16.0,substep_mean
Perform in vitro assays with sample extracts or purified proteins to characterize their functional and biochemical properties,domain,Life Sciences,,,5.0,0.0,80.0,10.0,5.0,15.0,80.0,5.0,0.0,80.0,5.0,15.0,0.0,1.7,1.79,0.0,0.11,6.24,3.35,3.83,yes,4.0,3.0,Bohr,16.0,substep_mean
Extract and fractionate compounds from biological material to prepare fractions for downstream analysis,domain,Life Sciences,,,0.0,0.0,90.0,5.0,5.0,5.0,90.0,5.0,0.0,15.0,0.0,85.0,0.0,1.5,2.12,0.34,0.0,4.53,2.02,3.06,yes,3.0,3.0,neither,14.0,substep_mean
Quantify chemical constituents of biological or environmental samples using standard laboratory assays to characterize their composition,domain,Life Sciences,,,5.0,0.0,80.0,10.0,5.0,15.0,80.0,5.0,0.0,90.0,0.0,5.0,5.0,1.07,1.55,0.78,0.22,5.94,3.81,4.19,yes,3.0,3.0,neither,14.0,substep_mean
Derive threshold or reference values from population data to classify individuals or samples,domain,Life Sciences,,,5.0,5.0,75.0,10.0,5.0,90.0,5.0,5.0,5.0,85.0,0.0,5.0,5.0,1.92,0.0,0.7,1.0,5.86,6.54,5.25,yes,1.0,5.0,Edison,16.0,substep_mean
Compare sequences across genomes or reference databases to identify homologous and lineage-specific genes,domain,Life Sciences,,,10.0,5.0,70.0,10.0,5.0,95.0,0.0,5.0,5.0,70.0,5.0,15.0,5.0,1.8,0.0,0.0,1.0,8.0,9.55,7.94,yes,4.0,3.0,Bohr,16.0,substep_mean
Develop custom instrumentation or computational tools tailored to specific research measurement needs,domain,Life Sciences,,,5.0,0.0,80.0,5.0,10.0,55.0,40.0,5.0,5.0,15.0,0.0,80.0,0.0,2.43,1.19,0.11,0.74,5.96,4.98,5.82,yes,4.0,3.0,Bohr,18.0,substep_mean
Engineer genetic constructs and vectors for targeted expression or silencing of genes in cells,domain,Life Sciences,,,5.0,0.0,80.0,5.0,10.0,15.0,80.0,5.0,5.0,20.0,0.0,70.0,5.0,1.52,1.11,0.04,0.52,7.61,5.57,5.6,yes,3.0,4.0,Edison,16.0,substep_mean
Perform in situ hybridization on tissue sections to localize gene transcript expression,domain,Life Sciences,,,0.0,0.0,85.0,10.0,5.0,15.0,85.0,0.0,0.0,40.0,20.0,40.0,0.0,1.47,2.32,0.0,0.0,3.8,1.61,2.42,yes,4.0,2.0,Bohr,16.0,substep_mean
Evaluate the diagnostic accuracy of a test by comparing its results against an established reference standard,domain,Life Sciences,,,5.0,15.0,60.0,15.0,5.0,70.0,15.0,15.0,0.0,85.0,0.0,5.0,10.0,1.52,1.72,1.82,0.25,5.6,3.41,3.7,yes,1.0,5.0,Edison,16.0,substep_mean
Perform in vivo procedures on laboratory animals to establish defined experimental states or disease models,domain,Life Sciences,,,0.0,0.0,85.0,0.0,15.0,5.0,95.0,0.0,0.0,15.0,0.0,85.0,0.0,1.95,2.88,2.91,0.0,4.43,1.6,3.62,yes,4.0,4.0,Pasteur,16.0,substep_mean
Design sampling and eligibility criteria to select participants or study units for data collection,domain,Social Sciences,,,10.0,5.0,70.0,10.0,5.0,20.0,5.0,75.0,10.0,40.0,20.0,30.0,0.0,2.0,0.0,0.58,1.0,5.1,7.97,5.32,yes,3.0,3.0,neither,18.0,substep_mean
"Select and justify cases, sites, or jurisdictions on explicit criteria to structure comparison",domain,Social Sciences,,,30.0,10.0,45.0,15.0,0.0,85.0,0.0,15.0,15.0,10.0,60.0,15.0,0.0,2.0,0.0,0.0,1.0,5.34,8.34,5.44,yes,3.0,3.0,neither,18.0,substep_mean
"Corroborate findings by triangulating independent data sources, methods, or informants to establish the credibility of interpretations",domain,Social Sciences,,,15.0,20.0,50.0,10.0,5.0,85.0,0.0,15.0,5.0,20.0,65.0,0.0,10.0,2.18,0.08,0.17,1.0,3.91,6.92,4.07,yes,4.0,3.0,Bohr,18.0,substep_mean
"Evaluate programs, policies, or rules against their stated objectives using empirical evidence on how they operate in practice",domain,Social Sciences,,,10.0,45.0,30.0,10.0,5.0,70.0,0.0,30.0,5.0,55.0,30.0,0.0,10.0,2.46,0.29,0.0,1.0,4.11,5.51,4.31,yes,2.0,5.0,Edison,16.0,substep_mean
Use the researcher's own lived and embodied experience as primary data for analysis,domain,Social Sciences,,,5.0,0.0,70.0,20.0,5.0,70.0,5.0,25.0,5.0,0.0,90.0,0.0,5.0,2.56,0.54,0.12,1.0,2.71,3.96,3.26,yes,4.0,2.0,Bohr,18.0,substep_mean
"Analyze documentary and archival sources, such as policy texts or legislation, as primary evidence on institutional practices and contexts",domain,Social Sciences,,,15.0,5.0,60.0,15.0,5.0,95.0,0.0,5.0,5.0,5.0,85.0,0.0,5.0,2.2,0.12,0.0,1.0,3.86,8.12,4.85,yes,4.0,3.0,Bohr,16.0,substep_mean
Derive analytic variables or indicators from existing records and data sources to operationalize study constructs,domain,Social Sciences,,,10.0,5.0,65.0,10.0,10.0,95.0,0.0,5.0,5.0,70.0,10.0,15.0,0.0,2.13,0.0,0.0,1.0,6.07,9.28,6.68,yes,3.0,3.0,neither,16.0,substep_mean
"Reconstruct the historical development of institutions, practices, or ideas from documentary and archival sources to explain their present form",domain,Social Sciences,,,25.0,5.0,45.0,20.0,5.0,90.0,5.0,5.0,10.0,5.0,80.0,0.0,5.0,2.42,0.34,0.0,1.0,3.59,5.07,3.55,yes,5.0,1.0,Bohr,18.0,substep_mean
"Develop conceptual frameworks, typologies, or definitions by synthesizing existing theory to organize and explain a focal phenomenon",domain,Social Sciences,,,40.0,5.0,35.0,20.0,0.0,95.0,0.0,5.0,85.0,0.0,10.0,0.0,5.0,3.31,0.0,0.0,1.0,3.53,8.54,4.36,yes,5.0,2.0,Bohr,20.0,substep_mean
Translate research findings into actionable recommendations or guidelines for practitioners and policymakers,domain,Social Sciences,,,20.0,5.0,10.0,55.0,10.0,85.0,0.0,15.0,10.0,15.0,15.0,10.0,50.0,2.4,0.0,0.3,1.0,4.14,5.63,4.25,yes,1.0,5.0,Edison,18.0,substep_mean
Assess the reliability and validity of measurement instruments before substantive analysis,domain,Social Sciences,,,10.0,15.0,65.0,5.0,5.0,90.0,0.0,10.0,5.0,85.0,5.0,5.0,0.0,2.15,0.0,0.0,1.0,7.62,9.33,8.18,yes,4.0,2.0,Bohr,18.0,substep_mean
Combine multiple indicators into composite indices to measure latent constructs and compare units,domain,Social Sciences,,,15.0,5.0,60.0,15.0,5.0,95.0,0.0,5.0,15.0,70.0,5.0,10.0,0.0,2.24,0.0,0.0,1.0,6.88,9.05,7.48,yes,2.0,4.0,Edison,16.0,substep_mean
Validate constructed measures by comparing them against independent data sources or reference values to establish their reliability,domain,Social Sciences,,,10.0,20.0,55.0,10.0,5.0,90.0,0.0,10.0,5.0,80.0,10.0,5.0,0.0,2.0,0.0,0.0,1.0,5.42,7.26,5.25,yes,3.0,3.0,neither,16.0,substep_mean
Apply concepts or theories drawn from outside the domain under study as interpretive frameworks for its phenomena,domain,Arts & Humanities,,,25.0,5.0,45.0,20.0,5.0,95.0,3.0,2.0,40.0,2.0,55.0,0.0,3.0,2.87,0.0,0.0,1.0,2.8,8.01,3.34,yes,5.0,1.0,Bohr,18.0,substep_mean
Compare a work with its counterpart in another medium to identify shifts in form and meaning,domain,Arts & Humanities,,,15.0,5.0,55.0,25.0,0.0,95.0,5.0,0.0,15.0,0.0,80.0,0.0,5.0,2.58,0.0,0.0,1.0,3.7,8.16,4.42,yes,5.0,1.0,Bohr,16.0,substep_mean
"Trace the circulation, reception, and transformation of works or forms across later periods and contexts",domain,Arts & Humanities,,,35.0,5.0,40.0,20.0,0.0,90.0,8.0,2.0,15.0,5.0,75.0,0.0,5.0,2.4,0.0,0.0,1.0,3.76,6.49,3.67,yes,5.0,1.0,Bohr,18.0,substep_mean
"Check claims, interpretations, or data against independent sources to establish accuracy and correct errors",domain,Arts & Humanities,,,25.0,50.0,10.0,10.0,5.0,95.0,3.0,2.0,5.0,5.0,80.0,0.0,10.0,1.9,0.0,0.0,1.0,5.08,7.58,5.84,yes,4.0,1.0,Bohr,16.0,substep_mean
Compare documented cases or practices across communities or institutions to explain divergent outcomes,domain,Arts & Humanities,,,25.0,5.0,55.0,15.0,0.0,80.0,5.0,15.0,15.0,5.0,75.0,0.0,5.0,2.67,0.55,0.0,1.0,2.55,5.02,2.91,yes,4.0,2.0,Bohr,16.0,substep_mean
"Evaluate existing concepts, arguments, or frameworks by reconstructing their underlying assumptions to assess their coherence and scope",domain,Arts & Humanities,,,20.0,45.0,20.0,15.0,0.0,95.0,0.0,5.0,60.0,0.0,35.0,0.0,5.0,2.83,0.0,0.0,1.0,3.72,8.76,4.39,yes,5.0,1.0,Bohr,18.0,substep_mean
Draw on the researcher's own experience and background as primary evidence for analysis,domain,Arts & Humanities,,,10.0,5.0,60.0,20.0,5.0,70.0,5.0,25.0,10.0,0.0,85.0,0.0,5.0,2.71,0.0,0.1,1.0,2.83,6.19,3.35,yes,4.0,1.0,Bohr,16.0,substep_mean
"Reconstruct sites, objects, or events from documentary and material evidence to produce a representation of them",domain,Arts & Humanities,,,30.0,5.0,45.0,15.0,5.0,70.0,25.0,5.0,10.0,5.0,55.0,30.0,0.0,2.71,0.08,0.13,1.0,3.67,7.08,4.59,yes,4.0,2.0,Bohr,16.0,substep_mean
"Analyze legal, policy, or institutional documents as external evidence bearing on the claims under examination",domain,Arts & Humanities,,,35.0,10.0,40.0,15.0,0.0,95.0,0.0,5.0,10.0,0.0,85.0,0.0,5.0,2.57,0.0,0.11,1.0,4.33,7.39,4.8,yes,2.0,4.0,Edison,16.0,substep_mean
"Trace key terms and names across sources, languages, and periods to establish their meanings and development",domain,Arts & Humanities,,,45.0,5.0,35.0,10.0,5.0,95.0,3.0,2.0,10.0,5.0,80.0,0.0,5.0,2.14,0.0,0.0,1.0,5.03,8.61,5.97,yes,5.0,1.0,Bohr,18.0,substep_mean
Survey a specialized body of documentary material to describe its contents and trace how it changed over time,domain,Arts & Humanities,,,55.0,5.0,15.0,20.0,5.0,90.0,5.0,5.0,5.0,5.0,80.0,0.0,10.0,2.14,0.51,0.0,1.0,4.45,6.86,4.66,yes,4.0,1.0,Bohr,16.0,substep_mean
Retrieve and count occurrences of targeted features across a textual corpus to identify distributional patterns,domain,Arts & Humanities,,,10.0,0.0,80.0,5.0,5.0,95.0,0.0,5.0,0.0,80.0,15.0,5.0,0.0,1.83,0.0,0.0,1.0,7.27,9.55,8.26,yes,4.0,1.0,Bohr,16.0,substep_mean
"Reconstruct the historical development and circumstances of a figure, community, or movement from documentary sources to explain its later character",domain,Arts & Humanities,,,35.0,5.0,40.0,20.0,0.0,95.0,5.0,0.0,5.0,0.0,90.0,0.0,5.0,2.65,0.0,0.0,1.0,3.71,7.72,4.25,yes,5.0,1.0,Bohr,16.0,substep_mean
"Develop new concepts, categories, or typologies to organize and explain phenomena that existing frameworks leave unaccounted for",domain,Arts & Humanities,,,20.0,10.0,55.0,15.0,0.0,95.0,3.0,2.0,55.0,0.0,40.0,5.0,0.0,3.61,0.0,0.0,1.0,2.65,7.16,3.09,yes,5.0,1.0,Bohr,20.0,substep_mean
Derive practical recommendations for professional practice or policy from research findings,domain,Arts & Humanities,,,25.0,10.0,25.0,35.0,5.0,85.0,0.0,15.0,20.0,10.0,35.0,15.0,20.0,2.37,0.0,0.0,1.0,3.15,5.66,3.89,yes,1.0,5.0,Edison,18.0,substep_mean
Design and deliver instructional materials or programmes for a target audience of learners or community members,domain,Arts & Humanities,,,15.0,5.0,10.0,20.0,50.0,45.0,5.0,50.0,5.0,0.0,15.0,55.0,25.0,2.0,0.28,0.52,1.0,3.97,5.97,4.16,no,,,n.a.,16.0,substep_mean
Design and deliver instructional or behavioral intervention protocols to serve as the treatment under study,domain,Social Sciences,,,5.0,0.0,70.0,5.0,20.0,15.0,10.0,75.0,5.0,25.0,10.0,55.0,5.0,2.33,0.83,0.78,0.81,5.47,5.44,5.38,yes,3.0,4.0,Edison,16.0,substep_mean
"Test materials and devices under prolonged, repeated, or stressed operating and exposure conditions to quantify performance degradation and durability",domain,Physical Sciences,,,5.0,5.0,75.0,10.0,5.0,10.0,85.0,5.0,0.0,55.0,5.0,35.0,5.0,1.77,1.88,0.05,0.24,5.5,3.41,4.53,yes,2.0,5.0,Edison,14.0,substep_mean
"Prepare solid samples by crushing, sectioning, or mounting to produce standardized material for laboratory analysis or experiments",domain,Physical Sciences,,,0.0,0.0,90.0,0.0,10.0,0.0,100.0,0.0,0.0,5.0,0.0,95.0,0.0,1.22,2.14,0.0,0.0,6.3,2.12,2.85,yes,3.0,3.0,neither,12.0,substep_mean
Quantify structural and morphological features from image data using image-analysis methods to characterize samples,domain,Physical Sciences,,,5.0,0.0,80.0,10.0,5.0,90.0,10.0,0.0,0.0,85.0,5.0,10.0,0.0,1.72,0.0,0.0,1.0,7.95,9.41,8.81,yes,3.0,3.0,neither,16.0,substep_mean
Interpret measured spectra to determine composition and structural characteristics of samples,domain,Physical Sciences,,,5.0,5.0,70.0,15.0,5.0,90.0,10.0,0.0,10.0,75.0,5.0,5.0,5.0,2.23,0.0,0.0,1.0,7.28,8.99,8.1,yes,4.0,3.0,Bohr,16.0,substep_mean
"Compare results against independent datasets, models, or reference cases to quantify agreement and validate them",domain,Physical Sciences,,,5.0,15.0,60.0,15.0,5.0,95.0,3.0,2.0,5.0,80.0,5.0,5.0,5.0,2.11,0.0,0.0,1.0,6.85,8.41,6.47,yes,3.0,3.0,neither,16.0,substep_mean
"Vary model inputs, parameters, or forcings systematically to quantify their influence on predicted outcomes",domain,Physical Sciences,,,5.0,5.0,75.0,10.0,5.0,95.0,0.0,5.0,5.0,70.0,0.0,25.0,0.0,1.96,0.0,0.0,1.0,7.4,9.34,7.49,yes,4.0,4.0,Pasteur,16.0,substep_mean
"Compare candidate materials, designs, or technologies against defined technical and application criteria to assess relative suitability",domain,Physical Sciences,,,20.0,40.0,20.0,15.0,5.0,80.0,15.0,5.0,10.0,40.0,10.0,35.0,5.0,1.92,0.0,0.0,1.0,7.07,9.02,7.73,yes,1.0,5.0,Edison,16.0,substep_mean
Build custom apparatus and prototype hardware to enable experiments and measurements beyond commercial capability,domain,Physical Sciences,,,5.0,0.0,80.0,5.0,10.0,10.0,80.0,10.0,5.0,15.0,0.0,75.0,5.0,2.55,1.63,0.14,0.39,5.07,4.19,4.15,yes,4.0,2.0,Bohr,16.0,substep_mean
Compute statistical and spectral descriptors from measured or simulated signals to characterize system behavior,domain,Physical Sciences,,,0.0,0.0,85.0,15.0,0.0,100.0,0.0,0.0,0.0,95.0,0.0,5.0,0.0,1.45,0.0,0.0,1.0,9.05,9.82,8.96,yes,3.0,3.0,neither,16.0,substep_mean
Apply a proposed method or technique to real-world data or cases to demonstrate its practical applicability and the interpretation of its results.,domain,Formal Sciences,,,5.0,5.0,60.0,25.0,5.0,95.0,0.0,5.0,10.0,60.0,5.0,20.0,5.0,2.17,0.0,0.0,1.0,5.46,8.9,5.56,yes,2.0,5.0,Edison,16.0,substep_mean
Perform laboratory assays on biospecimens to quantify biomarker and analyte levels for research measures,domain,Health Sciences,,,2.0,0.0,90.0,3.0,5.0,10.0,85.0,5.0,0.0,90.0,0.0,5.0,5.0,1.38,1.58,1.61,0.21,5.64,3.4,4.01,yes,3.0,4.0,Edison,14.0,substep_mean
"Develop definitions, protocols, and practice recommendations through structured expert consensus",domain,Health Sciences,,,25.0,30.0,20.0,15.0,10.0,60.0,0.0,40.0,10.0,10.0,55.0,15.0,10.0,1.92,0.0,0.91,1.0,4.44,5.05,3.95,yes,1.0,5.0,Edison,20.0,substep_mean
Genotype participants' biospecimens to detect genetic variants defining disease-relevant or biological subgroups,domain,Health Sciences,,,0.0,0.0,85.0,5.0,10.0,20.0,70.0,10.0,0.0,80.0,0.0,20.0,0.0,1.36,1.31,1.27,0.35,7.13,4.33,5.35,yes,4.0,4.0,Pasteur,16.0,substep_mean
"Administer standardized questionnaires and rating scales to participants to collect self-reported symptoms, behaviors, and psychosocial outcomes",domain,Health Sciences,,,0.0,0.0,90.0,0.0,10.0,10.0,0.0,90.0,0.0,85.0,5.0,0.0,10.0,1.81,0.69,1.14,1.0,6.59,5.72,7.33,yes,3.0,4.0,Edison,12.0,substep_mean
Monitor and record adverse events and tolerability during study interventions to characterize safety,domain,Health Sciences,,,5.0,10.0,60.0,15.0,10.0,20.0,5.0,75.0,0.0,65.0,20.0,0.0,15.0,1.99,0.84,2.51,0.68,5.79,6.0,5.79,yes,1.0,5.0,Edison,14.0,substep_mean
Evaluate the reliability and validity of measurement and coding procedures against reference standards or repeated observations,domain,Health Sciences,,,5.0,55.0,30.0,10.0,0.0,90.0,5.0,5.0,0.0,85.0,5.0,10.0,0.0,1.55,0.45,0.94,0.55,5.6,5.34,4.38,yes,3.0,4.0,Edison,16.0,substep_mean
Code qualitative interview and focus-group data thematically to identify recurring themes and categories,domain,Health Sciences,,,5.0,5.0,80.0,5.0,5.0,90.0,0.0,10.0,5.0,0.0,90.0,0.0,5.0,1.56,0.0,0.9,1.0,5.64,8.62,6.59,yes,3.0,4.0,Edison,16.0,substep_mean
"Calculate population-level disease frequency and burden measures from registry, mortality, or survey data using population denominators",domain,Health Sciences,,,5.0,0.0,80.0,10.0,5.0,95.0,0.0,5.0,0.0,95.0,0.0,0.0,5.0,1.58,0.0,0.0,1.0,8.4,9.32,8.37,yes,1.0,5.0,Edison,16.0,substep_mean
Estimate costs and resource use of health conditions and alternative interventions to inform resource-allocation decisions,domain,Health Sciences,,,15.0,5.0,60.0,15.0,5.0,90.0,0.0,10.0,5.0,80.0,5.0,5.0,5.0,2.33,0.0,1.15,1.0,6.8,9.12,7.57,yes,1.0,5.0,Edison,18.0,substep_mean
Derive composite indices and scores from multiple observed indicators to characterize participants for analysis,domain,Health Sciences,,,5.0,5.0,80.0,5.0,5.0,95.0,0.0,5.0,5.0,85.0,0.0,10.0,0.0,1.76,0.0,0.0,1.0,7.8,9.51,7.95,yes,3.0,4.0,Edison,16.0,substep_mean
Train and supervise study personnel to ensure consistent application of study data collection procedures,domain,Health Sciences,,,5.0,10.0,5.0,15.0,65.0,20.0,5.0,75.0,0.0,5.0,5.0,10.0,80.0,2.47,0.32,1.18,1.0,5.15,6.48,5.08,no,,,n.a.,16.0,substep_mean
Design population-based health surveys with probability sampling to obtain representative population estimates,domain,Health Sciences,,,10.0,5.0,65.0,10.0,10.0,60.0,0.0,40.0,5.0,70.0,5.0,20.0,0.0,2.23,0.0,0.33,1.0,5.79,7.84,6.08,yes,2.0,5.0,Edison,18.0,substep_mean
"Formulate hypotheses about soil nutrient cycling, carbon sequestration, or microbial community dynamics.",subfield,Life Sciences,Agricultural Sciences,Soil Science,25.0,5.0,60.0,8.0,2.0,90.0,5.0,5.0,45.0,35.0,10.0,5.0,5.0,2.23,0.0,0.0,1.0,5.34,8.04,5.53,yes,5.0,4.0,Pasteur,20.0,substep_mean
Develop hypotheses regarding soil-plant interactions and their effects on crop productivity or ecosystem function.,subfield,Life Sciences,Agricultural Sciences,Soil Science,30.0,5.0,55.0,10.0,0.0,90.0,5.0,5.0,55.0,20.0,15.0,5.0,5.0,2.35,0.0,0.0,1.0,4.92,7.92,5.05,yes,4.0,4.0,Pasteur,20.0,substep_mean
"Design field plot experiments with appropriate soil sampling depths, replication, and spatial controls.",subfield,Life Sciences,Agricultural Sciences,Soil Science,10.0,5.0,70.0,10.0,5.0,20.0,70.0,10.0,5.0,55.0,5.0,35.0,0.0,1.83,1.52,0.0,0.51,5.73,5.42,4.58,yes,3.0,4.0,Edison,18.0,substep_mean
Establish long-term soil monitoring trials to assess treatment effects across multiple growing seasons.,subfield,Life Sciences,Agricultural Sciences,Soil Science,5.0,0.0,80.0,5.0,10.0,15.0,80.0,5.0,0.0,70.0,5.0,25.0,0.0,1.66,2.14,0.02,0.22,5.94,3.38,4.37,yes,3.0,4.0,Edison,16.0,substep_mean
Sample plant root systems and rhizosphere soil to assess root-soil interactions.,subfield,Life Sciences,Agricultural Sciences,Soil Science,5.0,0.0,85.0,5.0,5.0,5.0,90.0,5.0,0.0,70.0,10.0,15.0,5.0,1.17,2.21,0.0,0.03,4.81,2.01,3.13,yes,3.0,4.0,Edison,14.0,substep_mean
Collect soil leachate and runoff samples to quantify nutrient losses and erosion rates.,subfield,Life Sciences,Agricultural Sciences,Soil Science,0.0,0.0,90.0,5.0,5.0,10.0,85.0,5.0,0.0,85.0,0.0,15.0,0.0,1.14,2.03,0.2,0.08,6.43,2.36,3.88,yes,3.0,5.0,Edison,12.0,substep_mean
Extract and sequence microbial DNA from soil samples to characterize community composition and diversity.,subfield,Life Sciences,Agricultural Sciences,Soil Science,5.0,0.0,85.0,5.0,5.0,20.0,75.0,5.0,0.0,70.0,0.0,30.0,0.0,1.46,1.11,0.07,0.44,7.25,4.88,5.49,yes,4.0,3.0,Bohr,16.0,substep_mean
"Harvest, process, and weigh plant material from sample plots to quantify biomass and yield",field,Life Sciences,Agricultural Sciences,,0.0,0.0,90.0,5.0,5.0,5.0,90.0,5.0,0.0,90.0,0.0,0.0,10.0,1.24,2.16,0.0,0.07,6.3,2.58,4.4,yes,2.0,5.0,Edison,12.0,substep_mean
Survey organisms in field plots to identify species and record community composition and abundance,field,Life Sciences,Agricultural Sciences,,5.0,0.0,80.0,10.0,5.0,10.0,80.0,10.0,0.0,45.0,35.0,5.0,15.0,1.91,2.21,0.35,0.06,5.04,3.21,3.96,yes,3.0,4.0,Edison,16.0,substep_mean
"Measure gas fluxes from soils, materials, or animals using chamber-based sampling and gas analysis",subfield,Life Sciences,Agricultural Sciences,Soil Science,5.0,0.0,80.0,5.0,10.0,10.0,80.0,10.0,0.0,90.0,0.0,5.0,5.0,1.37,1.38,0.0,0.34,6.64,4.72,5.63,yes,3.0,4.0,Edison,14.0,substep_mean
Isolate and enumerate microbial populations from soil and plant samples to quantify their densities,subfield,Life Sciences,Agricultural Sciences,Soil Science,5.0,0.0,85.0,5.0,5.0,10.0,85.0,5.0,0.0,80.0,5.0,10.0,5.0,1.12,2.08,0.0,0.15,5.08,2.57,3.53,yes,3.0,4.0,Edison,16.0,substep_mean
Prepare experimental materials to specified compositions for use in trials,field,Life Sciences,Agricultural Sciences,,5.0,0.0,85.0,5.0,5.0,5.0,90.0,5.0,0.0,20.0,0.0,80.0,0.0,0.95,1.66,0.34,0.17,7.75,3.47,5.4,yes,2.0,5.0,Edison,14.0,substep_mean
Assemble plant material and apply management operations to establish and maintain experimental plantings,field,Life Sciences,Agricultural Sciences,,5.0,0.0,80.0,5.0,10.0,5.0,90.0,5.0,0.0,5.0,5.0,80.0,10.0,1.84,2.75,0.95,0.0,4.01,1.76,2.76,yes,3.0,3.0,neither,12.0,substep_mean
Conduct controlled laboratory soil incubations with repeated sampling to quantify biogeochemical transformations over time.,subfield,Life Sciences,Agricultural Sciences,Soil Science,5.0,0.0,80.0,10.0,5.0,10.0,85.0,5.0,0.0,80.0,0.0,20.0,0.0,1.12,1.68,0.02,0.19,8.01,3.1,4.7,yes,4.0,3.0,Bohr,16.0,substep_mean
"Assess mycorrhizal fungi in roots and soil using staining, spore extraction, and light microscopy.",subfield,Life Sciences,Agricultural Sciences,Soil Science,5.0,0.0,80.0,10.0,5.0,10.0,85.0,5.0,0.0,70.0,15.0,5.0,10.0,1.65,1.83,0.11,0.43,5.34,3.77,4.19,yes,4.0,4.0,Pasteur,16.0,substep_mean
Characterize microbial isolates with laboratory assays to determine their functional traits,field,Life Sciences,Agricultural Sciences,,5.0,0.0,80.0,10.0,5.0,15.0,80.0,5.0,0.0,70.0,10.0,20.0,0.0,1.22,1.78,0.0,0.11,7.89,2.75,4.08,yes,3.0,4.0,Edison,16.0,substep_mean
Apply stable isotope tracers to partition nutrient sources and quantify fertilizer fate in soil-plant systems.,subfield,Life Sciences,Agricultural Sciences,Soil Science,5.0,0.0,75.0,15.0,5.0,20.0,75.0,5.0,5.0,80.0,0.0,15.0,0.0,1.29,1.92,0.05,0.19,7.25,2.94,4.57,yes,4.0,5.0,Pasteur,18.0,substep_mean
