task,level,domain,field,subfield,importance,pct_researchers,frequency,classification
Analyze qualitative data from debriefing sessions following simulation-based training.,subfield,Social Sciences,Education,Medical & Health Professions Education,3,80,3,Core
Control for prior academic performance and training site characteristics when analyzing educational outcomes.,subfield,Social Sciences,Education,Medical & Health Professions Education,4,90,3,Core
Address selection effects when comparing learners who self-select into different training pathways.,subfield,Social Sciences,Education,Medical & Health Professions Education,3,85,3,Core
Coordinate with clinical departments and training programs to recruit learner participants.,subfield,Social Sciences,Education,Medical & Health Professions Education,4,97,4,Core
Partner with simulation centers or clinical skills laboratories to access training environments for data collection.,subfield,Social Sciences,Education,Medical & Health Professions Education,3,80,3,Core
"Frame an interpretive question in relation to a historiographical, critical, or philosophical tradition.",domain,Arts & Humanities,Religion,Religion & Society,5,100,4,Core
"Read texts or examine works closely, attending to language, form, structure, and style.",domain,Arts & Humanities,Religion,Religion & Society,5,100,5,Core
"Establish the text or object of study, determining edition, provenance, authorship, and variants.",domain,Arts & Humanities,Religion,Religion & Society,3,88,3,Core
"Design a corpus or sampling strategy for the sources, periods, or languages to be examined.",domain,Arts & Humanities,Religion,Religion & Society,4,95,3,Core
"Observe obligations to the communities whose histories, languages, or cultural heritage are studied, including protocols for sacred or sensitive material.",domain,Arts & Humanities,Religion,Religion & Society,4,95,3,Core
"Locate primary sources in archives, manuscript collections, museums, or field sites.",domain,Arts & Humanities,Religion,Religion & Society,4,92,3,Core
"Negotiate access to archives, collections, or field sites and secure the necessary permissions.",domain,Arts & Humanities,Religion,Religion & Society,3,85,2,Core
"Transcribe, translate, or edit source materials, documenting every editorial choice.",domain,Arts & Humanities,Religion,Religion & Society,3,85,3,Core
"Annotate a corpus of texts, recordings, or images according to an explicit coding scheme.",domain,Arts & Humanities,Religion,Religion & Society,3,78,3,Core
"Situate a source within its historical, cultural, and intellectual context to reconstruct its meaning.",domain,Arts & Humanities,Religion,Religion & Society,5,100,4,Core
"Adjudicate among competing interpretations, weighing textual and contextual evidence.",domain,Arts & Humanities,Religion,Religion & Society,4,100,4,Core
"Handle rare, fragile, or culturally sensitive materials according to conservation and institutional protocols.",domain,Arts & Humanities,Religion,Religion & Society,3,75,2,Core
"Develop new concepts, categories, or typologies to organize and explain phenomena that existing frameworks leave unaccounted for",domain,Arts & Humanities,Religion,Religion & Society,4,95,3,Core
Compare a work with its counterpart in another medium to identify shifts in form and meaning,domain,Arts & Humanities,Religion,Religion & Society,3,80,2,Core
Draw on the researcher's own experience and background as primary evidence for analysis,domain,Arts & Humanities,Religion,Religion & Society,3,80,3,Core
Apply concepts or theories drawn from outside the domain under study as interpretive frameworks for its phenomena,domain,Arts & Humanities,Religion,Religion & Society,4,97,4,Core
"Trace the circulation, reception, and transformation of works or forms across later periods and contexts",domain,Arts & Humanities,Religion,Religion & Society,4,95,3,Core
"Reconstruct sites, objects, or events from documentary and material evidence to produce a representation of them",domain,Arts & Humanities,Religion,Religion & Society,3,72,2,Core
"Check claims, interpretations, or data against independent sources to establish accuracy and correct errors",domain,Arts & Humanities,Religion,Religion & Society,4,100,4,Core
"Trace key terms and names across sources, languages, and periods to establish their meanings and development",domain,Arts & Humanities,Religion,Religion & Society,4,92,3,Core
Derive practical recommendations for professional practice or policy from research findings,domain,Arts & Humanities,Religion,Religion & Society,3,88,2,Core
Survey a specialized body of documentary material to describe its contents and trace how it changed over time,domain,Arts & Humanities,Religion,Religion & Society,3,90,3,Core
Design and deliver instructional materials or programmes for a target audience of learners or community members,domain,Arts & Humanities,Religion,Religion & Society,4,95,3,Core
Retrieve and count occurrences of targeted features across a textual corpus to identify distributional patterns,domain,Arts & Humanities,Religion,Religion & Society,3,72,3,Core
Compare documented cases or practices across communities or institutions to explain divergent outcomes,domain,Arts & Humanities,Religion,Religion & Society,4,95,3,Core
"Reconstruct the historical development and circumstances of a figure, community, or movement from documentary sources to explain its later character",domain,Arts & Humanities,Religion,Religion & Society,4,95,3,Core
"Evaluate existing concepts, arguments, or frameworks by reconstructing their underlying assumptions to assess their coherence and scope",domain,Arts & Humanities,Religion,Religion & Society,5,100,4,Core
"Analyze legal, policy, or institutional documents as external evidence bearing on the claims under examination",domain,Arts & Humanities,Religion,Religion & Society,3,85,3,Core
"Apply hydrological equations and water balance principles to predict streamflow, groundwater recharge, or contaminant transport.",subfield,Physical Sciences,Environmental Science,Water Resources & Hydrology,5,100,4,Core
Estimate evapotranspiration rates using energy balance or empirical methods for watershed water budgets.,subfield,Physical Sciences,Environmental Science,Water Resources & Hydrology,4,92,3,Core
Derive scaling relationships and dimensionless numbers from catchment and climate data to characterize hydrologic behavior.,subfield,Physical Sciences,Environmental Science,Water Resources & Hydrology,3,80,2,Core
Develop spatial metrics to quantify the variability and dependence structure of hydrometeorological fields.,subfield,Physical Sciences,Environmental Science,Water Resources & Hydrology,3,78,2,Core
Transfer or pool records from hydrologically similar gauged catchments to estimate flow characteristics at target or ungauged sites.,subfield,Physical Sciences,Environmental Science,Water Resources & Hydrology,4,90,3,Core
Design field sampling campaigns to capture spatial and temporal variability in water quality or hydrological conditions.,subfield,Physical Sciences,Environmental Science,Water Resources & Hydrology,4,95,3,Core
Establish monitoring well networks to characterize groundwater flow patterns and aquifer properties.,subfield,Physical Sciences,Environmental Science,Water Resources & Hydrology,4,85,2,Core
